Time,Tensao_Inversor
0.0146411,-0.002948159736206435
0.01465,-99.99831122104416
0.0147,-99.99829244222144
0.0147344,-99.99827994750308
0.0147344,-99.99827994748841
0.0147344,-99.99787843735217
0.0147344,-99.99787843735217
0.01475,-0.002623928807622633
0.0148,-0.002658342954248383
0.01485,-0.002692451250652539
0.0148549,-0.002695804102074817
0.0148549,-0.002695804107020194
0.0148549,-0.002997957062859768
0.0148549,-0.002997957062859768
0.0149,-99.99834568721019
0.0149482,-99.99832773061411
0.0149482,-99.99832773069892
0.0149482,-99.99792947791801
0.0149482,-99.99792947791801
0.01495,-0.02022944975351493
0.015,-0.002696210164174317
0.01505,-0.002729937090009571
0.0150671,-0.002741428983085825
0.0150671,-0.002741428987974359
0.0150671,-0.003045045491376186
0.0150671,-0.003045045491376186
0.0151,-99.99839556703472
0.01515,-99.99837645491988
0.0151604,-99.99837249550762
0.0151604,-99.99837249553559
0.0151604,-99.99797753693028
0.0151604,-99.99797753693028
0.0152,-0.002732313558567512
0.01525,-0.002765671640077016
0.0152779,-0.002784123552089568
0.0152779,-0.002784123500191527
0.0152779,-0.003089629024032092
0.0152779,-0.003089629024032092
0.0153,-99.99844220876497
0.01535,-99.99842261424078
0.0153713,-99.99841431761791
0.0153713,-99.99841431761746
0.0153713,-99.99802255223378
0.0153713,-99.99802255223378
0.0154,-0.002766584091602908
0.01545,-0.002799583386547511
0.0154872,-0.002823956626116342
0.0154872,-0.002823956744748557
0.0154872,-0.003131663529984507
0.0154872,-0.003131663529984507
0.0155,-99.99848566445814
0.01555,-99.99846559428653
0.0155809,-99.99845327772994
0.0155809,-99.99845327768685
0.0155809,-99.99806497497687
0.0155809,-99.99806497497687
0.0156,-0.002799000738946233
0.01565,-0.00283164699402505
0.0156954,-0.002861006029490909
0.0156954,-0.002861006034436286
0.0156954,-0.003171327162192483
0.0156954,-0.003171327162192483
0.0157,-99.99855173903677
0.01575,-99.99850545806584
0.0157895,-99.99848944552338
0.0157895,-99.99848944559403
0.0157895,-99.99810448928454
0.0157895,-99.99810448928454
0.0158,-0.00282990843419384
0.01585,-0.002861810449019231
0.0159,-0.002893835343968476
0.0159024,-0.002895334043785169
0.0159024,-0.002895334105573966
0.0159024,-0.003208614672303156
0.0159024,-0.003208614672303156
0.01595,-99.99854228885641
0.015997,-99.99852287304446
0.015997,-99.99852287305822
0.015997,-99.99814135284819
0.015997,-99.99814135284819
0.016,-0.003556502744061163
0.01605,-0.002890021430403067
0.0161,-0.002921732726349546
0.0161083,-0.002926993284518176
0.0161083,-0.002926993346250129
0.0161083,-0.003243638702315366
0.0161083,-0.003243638702315366
0.01615,-99.99857615037104
0.0162,-99.9985551154669
0.0162036,-99.99855361087833
0.0162036,-99.99855361092051
0.0162036,-99.99817558157852
0.0162036,-99.99817558157852
0.01625,-0.002916218933933123
0.0163,-0.002947631509471194
0.0163134,-0.002956028698235968
0.0163134,-0.002956028760024765
0.0163134,-0.003276469210049981
0.0163134,-0.003276469210049981
0.01635,-99.99860711344041
0.0164,-99.99858572809097
0.0164095,-99.99858169958981
0.0164095,-99.99858169960362
0.0164095,-99.99820730795616
0.0164095,-99.99820730795616
0.01645,-0.002940332128503087
0.0165,-0.002971466328176575
0.0165178,-0.002982476600493555
0.0165178,-0.002982476605382089
0.0165178,-0.003307257618928361
0.0165178,-0.003307257618928361
0.01655,-99.99863521739155
0.0166,-99.99861352745398
0.0166147,-99.99860716995863
0.0166147,-99.99860716997233
0.0166147,-99.99823656443769
0.0166147,-99.99823656443769
0.01665,-0.002962299723492379
0.0167,-0.002993163711835223
0.0167215,-0.003006364437396769
0.0167215,-0.003006364499128722
0.0167215,-0.003336042971113784
0.0167215,-0.003336042971113784
0.01675,-99.99866059300973
0.0168,-99.99863857811567
0.0168195,-99.99863004123324
0.0168195,-99.998630041247
0.0168195,-99.99826315671092
0.0168195,-99.99826315671092
0.01685,-0.002982030709574701
0.0169,-0.003012642571150081
0.0169248,-0.003027710528158423
0.0169248,-0.003027710447838672
0.0169248,-0.00336259998340438
0.0169248,-0.00336259998340438
0.01695,-99.99868321425851
0.017,-99.99866095424977
0.017024,-99.9986503265398
0.017024,-99.99865032652514
0.017024,-99.99828732322933
0.017024,-99.99828732322933
0.01705,-0.002999427048223424
0.0171,-0.00302980548974574
0.0171277,-0.003046523004456958
0.0171277,-0.003046522952502073
0.0171277,-0.003387237574258961
0.0171277,-0.003387237574258961
0.01715,-99.99870323733535
0.0172,-99.99868070951499
0.0172283,-99.99866802475958
0.0172283,-99.99866802480176
0.0172283,-99.99830886972015
0.0172283,-99.99830886972015
0.01725,-0.003014377418651293
0.0173,-0.003044543646637976
0.0173305,-0.003062799798556171
0.0173305,-0.003062799803501548
0.0173305,-0.003410059944940258
0.0173305,-0.003410059944940258
0.01735,-99.99872068320008
0.0174,-99.99869791130106
0.0174134,-99.99869185596998
0.0174134,200.0013080240016
0.0174239,100.0056238709986
0.0174239,100.005623870984
0.0174239,100.0052681482776
0.0174239,100.0052681482776
0.01745,0.009941353082594667
0.0175,0.009911663265913893
0.0175247,0.009897116136007883
0.0175247,0.009897116140924839
0.0175247,0.01008771999716231
0.0175247,0.01008771999716231
0.01755,100.0055223864244
0.0175798,100.0054738026555
0.0175798,100.0054738026977
0.0175798,100.0051191057025
0.0175798,100.0051191057025
0.0176,0.009795463767541496
0.01765,0.00976714660585311
0.01768,0.009750289694212443
0.01768,0.009750289699129399
0.01768,0.009937983541814487
0.01768,0.009937983541814487
0.0177,100.0053848521411
0.0177341,100.0053301172586
0.0177341,100.0053301173007
0.0177341,100.0049763008101
0.0177341,100.0049763008101
0.01775,0.009654671718564913
0.0178,0.009627668667532362
0.0178337,0.009609611917841028
0.0178337,0.009609611951179693
0.0178337,0.009794656293700297
0.0178337,0.009794656293700297
0.01785,100.0052505819863
0.0178869,100.0051923483058
0.0178869,100.0051923482911
0.0178869,100.0048394624125
0.0178869,100.0048394624125
0.0179,0.009518790619321595
0.01795,0.009493035436032516
0.0179859,0.009474710920756638
0.0179859,0.009474710954095304
0.0179859,0.009657314099159179
0.0179859,0.009657314099159179
0.018,100.0051195624139
0.0180382,100.0050601472353
0.0180382,100.0050601472206
0.0180382,100.0047083386954
0.0180382,100.0047083386954
0.01805,0.009387654469877594
0.0181,0.009363070235470583
0.0181367,0.00934524758679693
0.0181367,0.009345247534870465
0.0181367,0.009525504609938474
0.0181367,0.009525504609938474
0.01815,100.0049916782357
0.0181882,100.0049331972066
0.0181882,100.0049331971919
0.0181882,100.0045823657482
0.0181882,100.0045823657482
0.0182,0.009260984319845383
0.01825,0.009237609152782867
0.0182862,0.009220913053174629
0.0182862,0.009220913086513294
0.0182862,0.009399100663239375
0.0182862,0.009399100663239375
0.0183,100.0048668253697
0.0183369,100.0048112071207
0.0183369,100.004811207106
0.0183369,100.0044609627696
0.0183369,100.0044609627696
0.01835,0.009138622753072655
0.0184,0.009116483329021846
0.0184344,0.009101424867455131
0.0184344,0.009101424900793796
0.0184344,0.009277658428161171
0.0184344,0.009277658428161171
0.01845,100.0047449198191
0.0184844,100.0046939100542
0.0184844,100.0046939100395
0.0184844,100.0043446413636
0.0184844,100.0043446413636
0.0185,0.009020526655708509
0.01855,0.008999545229578226
0.0185813,0.008986522622999761
0.0185813,0.008986522627916717
0.0185813,0.009160852156555231
0.0185813,0.009160852156555231
0.0186,100.0046259262048
0.0186307,100.0045810604877
0.0186307,100.0045810604731
0.0186307,100.0042327305378
0.0186307,100.0042327305378
0.01865,0.008906525172984596
0.0187,0.008886650800475493
0.0187271,0.008875966977783138
0.0187271,0.008875967011121803
0.0187271,0.009048679372922672
0.0187271,0.009048679372922672
0.01875,100.0045096666072
0.0187759,100.0044724300742
0.0187759,100.0044724300595
0.0187759,100.0041249206306
0.0187759,100.0041249206306
0.0188,0.008796474800063972
0.01885,0.008777664151848779
0.0188718,0.008769536432832188
0.0188718,0.008769536380905725
